best_match_score,__id_left,__id_right,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,short_name,long_name,club_name,league_name,pace,shooting,passing,dribbling,defending,physic,player_positions
0.32822538476650054,1949_left,0_right,2097,Lionel Messi,33,2876,25,20.849667284637693,20,16.593363385647535,159,88,4,0,F M S,Barcelona,20,17.133279267698526,34.92346678301692,13.53765751607716,L. Messi,Lionel Andrés Messi Cuccittini,FC Barcelona,Spain Primera Division,85.0,92.0,91.0,95.0,38.0,65.0,"RW, ST, CF"
0.7090672465872994,1950_left,11_right,2370,Karim Benzema,37,3176,21,21.250921905040737,8,8.153260290622711,124,59,0,0,F S,Real Madrid,16,17.534661665558815,31.533140420913696,10.8458740292117,K. Benzema,Karim Benzema,Real Madrid,Spain Primera Division,74.0,85.0,81.0,86.0,40.0,76.0,"CF, ST"
0.4858087276675775,1951_left,162_right,2120,Gerard Moreno,35,2781,18,15.308759577572346,5,7.582541231065987,89,50,5,0,F M S,Villarreal,17,13.822204269468784,23.27422052342445,6.311413732357322,Gerard Moreno,Gerard Moreno Balagueró,Villarreal CF,Spain Primera Division,76.0,84.0,76.0,80.0,46.0,73.0,"ST, RM, CF"
0.27356376635925517,1952_left,29_right,2098,Luis Suárez,28,1989,16,13.913964495062828,8,3.1697452925145626,79,26,4,0,F S,Barcelona,15,13.17068687081337,18.988986507058144,4.466442044824363,L. Suárez,Luis Alberto Suárez Díaz,FC Barcelona,Spain Primera Division,70.0,90.0,82.0,83.0,51.0,83.0,ST
0.5470613984475753,1953_left,316_right,2400,Raúl García,35,2899,15,11.145032257772982,1,1.6823154715821147,81,22,11,0,F M S,Athletic Club,8,5.942344791255891,6.844849605113268,1.7427524253726006,Raúl García,Raúl García Escudero,Athletic Club de Bilbao,Spain Primera Division,46.0,83.0,81.0,78.0,72.0,83.0,"ST, CAM, RW"
0.4894392139878861,1954_left,180_right,1109,Lucas Ocampos,33,2775,14,12.395092755556107,3,3.778462126851082,85,24,8,1,F M S,Sevilla,9,8.678960492834449,15.106647791340947,5.2163168508559465,L. Ocampos,Lucas Ariel Ocampos,Sevilla FC,Spain Primera Division,82.0,83.0,78.0,83.0,63.0,84.0,"RW, LW"
0.34035025994926066,1955_left,107_right,2290,Iago Aspas,37,3283,14,14.935345904901626,3,4.86539494805038,84,57,9,0,F M,Celta Vigo,9,9.732402561232448,16.321945482864972,6.6322398614138365,Iago Aspas,Iago Aspas Juncal,RC Celta,Spain Primera Division,82.0,85.0,78.0,86.0,35.0,63.0,"ST, RW"
-0.19013048732297888,1956_left,1631_right,1235,Ante Budimir,35,2807,13,10.8874979801476,2,1.085213542915881,56,13,12,0,F S,Mallorca,11,9.400942716747524,12.438686706125734,3.1601235689595337,A. Ćorić,Ante Ćorić,Roma,Italian Serie A,67.0,66.0,71.0,74.0,40.0,52.0,"CAM, CM"
0.417342570013353,1957_left,178_right,1804,Álvaro Morata,34,2120,12,14.975812932476401,2,4.497370230033995,69,25,4,1,F S,Atletico Madrid,10,12.74610791169107,18.262695636600252,3.4175533652305603,Morata,Álvaro Borja Morata Martín,Atlético Madrid,Spain Primera Division,80.0,80.0,71.0,81.0,31.0,77.0,ST
,1958_left,,866,Joselu,36,2800,11,11.799111951142551,2,1.9428747817873957,87,15,6,0,F S,Alaves,10,11.055834326893091,11.244495198130608,2.1454401332885027,,,,,,,,,,,
